14 maj 2026 16:40:25 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=0.0, state=IN_PROGRESS}
14 maj 2026 16:40:25 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3500.0, state=IN_PROGRESS}
14 maj 2026 16:40:25 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3900.0, state=IN_PROGRESS}
14 maj 2026 16:40:25 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=IN_PROGRESS}
14 maj 2026 16:40:25 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=ACCEPTED}
16 maj 2026 23:07:26 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=0.0, state=IN_PROGRESS}
16 maj 2026 23:07:26 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3500.0, state=IN_PROGRESS}
16 maj 2026 23:07:26 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3900.0, state=IN_PROGRESS}
16 maj 2026 23:07:26 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=IN_PROGRESS}
16 maj 2026 23:07:26 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=ACCEPTED}
16 maj 2026 23:09:07 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=0.0, state=IN_PROGRESS}
16 maj 2026 23:09:07 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3500.0, state=IN_PROGRESS}
16 maj 2026 23:09:07 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3900.0, state=IN_PROGRESS}
16 maj 2026 23:09:07 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=IN_PROGRESS}
16 maj 2026 23:09:07 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=ACCEPTED}
16 maj 2026 23:11:28 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=0.0, state=IN_PROGRESS}
16 maj 2026 23:11:28 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3500.0, state=IN_PROGRESS}
16 maj 2026 23:11:28 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3900.0, state=IN_PROGRESS}
16 maj 2026 23:11:28 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=IN_PROGRESS}
16 maj 2026 23:11:28 - Order Updated: RepairOrderDTO{orderID=1, problemDescription='Battery does not charge.', totalCost=3510.0, state=ACCEPTED}
